,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
392,439,True,51.5338,false,-0.118677,"Killick Street, King's Cross",22,22,0,False,200053,2012-01-04,
393,557,True,51.51601,false,-0.0985,"King Edward Street, St Pauls",1,20,19,False,200203,,
394,371,True,51.49775,false,-0.10988,"King Edward Walk, Waterloo",9,22,12,False,2639,2010-12-07,
395,799,True,51.4976984561,false,-0.137598896295,"Kings Gate House, Westminster",3,24,21,False,300202,2016-06-02,
396,594,True,51.513875,false,-0.117774,"Kingsway Southbound, Strand",0,33,33,False,200226,2012-03-14,
397,283,True,51.51440928,false,-0.118478757,"Kingsway, Covent Garden",0,16,16,False,1141,2010-07-21,
398,296,True,51.49363156,false,-0.190603326,"Knaresborough Place, Earl's Court",16,18,2,False,200069,2013-08-23,
399,222,True,51.50275704,false,-0.155349725,"Knightsbridge, Hyde Park",22,43,21,False,1101,2010-07-20,
400,200,True,51.51492456,false,-0.066078037,"LMU Commercial Road, Whitechapel",14,14,0,False,1105,2010-07-18,
401,262,True,51.49874469,false,-0.103132904,"LSBU (Borough Road), Elephant & Castle",35,35,0,False,1095,2010-07-21,
402,560,True,51.511624,false,-0.205921,"Ladbroke Grove Central, Ladbroke Grove",11,21,10,False,200015,,
403,284,True,51.49914063,false,-0.112031483,"Lambeth North Station, Waterloo",9,20,11,False,1117,2010-07-21,
404,815,True,51.5000891978,false,-0.116628700672,"Lambeth Palace Road, Waterloo",5,35,30,False,300231,2016-05-04,
405,139,True,51.49488108,false,-0.117974901,"Lambeth Road, Vauxhall",6,18,12,False,1078,2010-07-15,
406,526,True,51.503143,false,-0.008428,"Lancaster Drive, Blackwall",15,27,11,False,200143,,
407,524,True,51.511654,false,-0.179668,"Lancaster Gate , Bayswater",28,38,9,False,200017,2012-02-06,
408,523,True,51.51549,false,-0.013475,"Langdon Park, Poplar",11,24,13,False,200160,,
409,21,True,51.539834,false,-0.062806212,"Lansdowne Drive, Hackney Central",22,26,4,False,3426,2010-07-06,
410,622,True,51.50748124,false,-0.205535908,"Lansdowne Road, Ladbroke Grove",11,29,16,False,200172,2013-10-04,
411,543,True,51.509591,false,-0.204666,"Lansdowne Walk, Ladbroke Grove",12,21,9,False,200065,,
412,801,True,51.5052241745,false,-0.0980318118664,"Lavington Street, Bankside",2,29,27,False,300208,2016-03-24,
413,786,True,51.549369,false,-0.015717614,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",11,44,33,False,300029,2016-01-04,
414,202,True,51.51236389,false,-0.06954201,"Leman Street, Aldgate",17,37,20,False,1102,2010-07-18,
415,32,True,51.52469624,false,-0.084439283,"Leonard Circus , Shoreditch",1,43,41,False,1020,2010-07-07,
416,155,True,51.49586666,false,-0.191933711,"Lexham Gardens, Kensington",13,19,6,False,1121,2010-07-16,
417,475,True,51.499041,false,-0.020157,"Lightermans Road, Millwall",17,31,13,False,200004,2012-01-17,
418,777,True,51.4619230679,false,-0.165297856693,"Limburg Road, Clapham Junction",12,21,9,False,300100,2014-07-25,
419,573,True,51.485587,false,-0.18119,"Limerston Street, West Chelsea",3,18,15,False,200001,2012-03-15,
420,809,True,51.5162778834,false,-0.118272991635,"Lincoln's Inn Fields, Holborn",0,28,26,False,300240,2016-07-04,
421,469,True,51.513757,false,-0.020467,"Lindfield Street, Poplar",39,44,5,False,22178,2012-01-12,
422,60,True,51.52644828,false,-0.172190727,"Lisson Grove, St. John's Wood",14,18,3,False,1030,2010-07-10,
423,116,True,51.51449962,false,-0.141423695,"Little Argyll Street, West End",5,21,16,False,995,2010-07-14,
424,775,True,51.496664,false,-0.223868,"Little Brook Green, Brook Green",21,33,12,False,300101,2014-03-31,
425,234,True,51.53450449,false,-0.106992706,"Liverpool Road (N1 Centre), Angel",19,24,5,False,1081,2010-07-20,
426,117,True,51.49288067,false,-0.114934001,"Lollard Street, Vauxhall",22,25,3,False,998,2010-07-14,
427,614,True,51.54119,false,-0.058826101,"London Fields, Hackney Central",15,21,5,False,200025,2013-10-03,
428,752,True,51.515117,false,-0.17371276,"London Street, Paddington",13,19,4,False,300079,2022-04-19,
429,343,True,51.53692216,false,-0.150181444,"London Zoo Car Park, The Regent's Park",24,36,12,False,1188,2010-07-27,
430,271,True,51.53583617,false,-0.156285395,"London Zoo,  The Regent's Park",12,32,19,False,1136,2010-07-21,
431,308,True,51.49907558,false,-0.085666316,"Long Lane , Bermondsey",9,20,11,False,1189,2010-07-22,
432,76,True,51.52559505,false,-0.144083893,"Longford Street, The Regent's Park",14,21,7,False,976,2010-07-12,
433,363,True,51.5291212008901,false,-0.171185284853,"Lord's, St. John's Wood",14,24,9,False,2665,2010-11-16,
434,746,True,51.4795738,false,-0.17903854,"Lots Road, West Chelsea",7,24,17,False,300076,2013-12-02,
435,347,True,51.50013942,false,-0.113936001,"Lower Marsh, Waterloo",4,17,13,False,1219,2010-09-06,
436,276,True,51.50930161,false,-0.084985356,"Lower Thames Street, Monument",19,24,4,False,1098,2010-07-21,
437,351,True,51.529423,false,-0.097122,"Macclesfield Rd, St Lukes",28,28,0,False,1226,2010-10-11,
438,8,True,51.529857,false,-0.18348604,"Maida Vale, Maida Vale",32,39,5,False,3423,2018-10-31,
439,12,True,51.52168078,false,-0.130431727,"Malet Street, Bloomsbury",22,49,26,False,980,2010-07-05,
440,208,True,51.52505151,false,-0.166304359,"Mallory Street, Marylebone",14,20,6,False,1175,2010-07-18,
441,599,True,51.485743,false,-0.223616,"Manbre Road, Hammersmith",18,28,10,False,200235,,
442,529,True,51.486892,false,-0.170983,"Manresa Road, Chelsea",5,18,13,False,200010,,
443,492,True,51.525501,false,-0.032267204,"Maplin Street, Mile End",23,39,16,False,200230,2012-01-22,
444,204,True,51.52659961,false,-0.112432615,"Margery Street, Clerkenwell",17,19,2,False,3468,2010-07-18,
445,384,True,51.496481,false,-0.192404,"Marloes Road, Kensington",6,15,9,False,3505,2011-02-03,
446,301,True,51.51475963,false,-0.148105415,"Marylebone Lane, Marylebone",2,24,22,False,1152,2010-07-22,
447,497,True,51.526578,false,-0.027581,"Merchant Street, Bow",26,27,1,False,200242,2012-01-24,
448,704,True,51.45682071,false,-0.202802098,"Mexfield Road, East Putney",9,18,9,False,200063,2013-11-14,
449,731,True,51.47727637,false,-0.189210466,"Michael Road, Walham Green",34,37,3,False,300095,2013-11-25,
450,763,True,51.52059714,false,-0.032566533,"Mile End Park Leisure Centre, Mile End",41,47,6,False,300027,2014-02-10,
451,712,True,51.51854104,false,-0.034903714,"Mile End Stadium, Mile End",16,22,6,False,300056,2013-11-18,
452,376,True,51.49188409,false,-0.125674815,"Millbank Tower, Pimlico",16,24,8,False,2683,2011-01-10,
453,366,True,51.5109192966489,false,-0.1511263847351,"Millennium Hotel, Mayfair",0,27,27,False,1230,2010-11-25,
454,473,True,51.496137,false,-0.019355,"Millharbour, Millwall",9,19,9,False,22167,2012-01-17,
455,195,True,51.50724437,false,-0.106237501,"Milroy Walk, South Bank",11,30,19,False,959,2010-07-17,
456,783,True,51.5403115,false,-0.021630359,"Monier Road, Hackney Wick",24,27,2,False,300213,2015-11-26,
457,292,True,51.49888404,false,-0.165471605,"Montpelier Street, Knightsbridge",1,16,13,False,1206,2010-07-22,
458,709,True,51.46321128,false,-0.215550761,"Montserrat Road , Putney",21,23,2,False,200205,2013-11-15,
459,587,True,51.50964,false,-0.08497,"Monument Street, Monument",0,22,22,False,200101,2012-03-22,
460,386,True,51.51352755,false,-0.130110822,"Moor Street, Soho",13,16,3,False,3504,2011-02-03,
461,215,True,51.51906932,false,-0.088285377,"Moorfields, Moorgate",0,54,54,False,1092,2010-07-19,
